Date,Season,G,Tm,@,Opp,Result,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,MP-binned,GmSc/min,PM/min,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE
11/10/2004,2,5,CLE,,PHO,W (+5),48.35,13,24,0.542,1,2,0.5,11,12,0.917,3,7,10,6,3,3,3,1,38,36.1,14,Above,0.746639090,0.289555326,109.1,95.9,13.2,26.1,2,15.4,6.1,11.3,9,7.7,56.3,64.9,29.2,98.02,27
11/13/2004,2,6,CLE,,WAS,W (+31),37.4,10,20,0.5,0,3,0,4,5,0.8,1,8,9,4,3,2,4,0,24,19.9,25,Average,0.532085561,0.668449198,109.2,76.3,32.9,16.7,1,13.3,2.8,16.7,10.7,13.3,50,54.1,29.2,97.54,20.7
11/15/2004,2,7,CLE,,GSW,W (+11),41.966666667,12,22,0.545,3,5,0.6,6,8,0.75,2,10,12,4,2,1,1,1,33,30.1,15,Average,0.717235902,0.357426529,112.7,94.9,17.8,21.1,4,12.9,6.3,21.3,15.2,3.2,61.4,64.7,31,89.79,27.1
11/18/2004,2,8,CLE,@,CHA,W (+17),29.1,8,14,0.571,2,3,0.667,1,2,0.5,1,5,6,9,0,0,1,3,19,18.3,21,Below,0.628865979,0.721649485,126.8,87.7,39.1,47.4,9,37.5,4.8,19.2,12.8,4.2,64.3,63.8,23.8,93.2,26.8
11/20/2004,2,9,CLE,,CHA,W (+16),37.816666667,11,20,0.55,0,2,0,3,4,0.75,5,3,8,2,3,1,7,0,25,17.5,24,Average,0.462758925,0.634640811,113.7,81.9,31.8,13.3,0.29,6.7,12.8,6.3,9.2,23.3,55,57.4,30.8,92.02,20
11/21/2004,2,10,CLE,@,NYK,L (-10),40.683333333,5,15,0.333,1,3,0.333,2,3,0.667,2,7,9,10,1,1,5,3,13,10.1,1,Average,0.248258910,0.024580090,107.7,109.2,-1.5,32.3,2,32.3,6.1,24.1,14.5,16.1,36.7,39.8,23.6,90.85,8.3
11/24/2004,2,11,CLE,,DET,W (+16),37.5,15,22,0.682,2,3,0.667,11,12,0.917,3,3,6,5,3,1,3,3,43,39.2,12,Average,1.045333333,0.32,100,83.6,16.4,55.6,1.67,14.3,10,8.6,9.2,8.6,72.7,78.8,39.5,85.76,52.5
11/26/2004,2,12,CLE,@,BOS,W (+2),42.8,9,13,0.692,0,2,0,2,3,0.667,0,6,6,8,3,1,2,2,20,22.4,6,Above,0.523364486,0.140186916,117.5,106,11.5,29.6,4,33.3,0,16.2,9.7,8.3,69.2,69.8,18.4,91.4,19.3
11/27/2004,2,13,CLE,,CHI,W (+22),31.916666667,11,17,0.647,1,2,0.5,3,4,0.75,1,6,7,7,1,0,2,0,26,24.5,25,Below,0.767624021,0.783289817,117.2,72.9,44.4,41.2,3.5,25.9,3.8,20,12.5,7.4,67.6,69.3,29.9,87.98,37.1
11/29/2004,2,14,CLE,@,LAC,L (-12),42.316666667,9,19,0.474,0,2,0,4,5,0.8,1,6,7,5,6,1,3,2,22,20.8,-16,Above,0.491532099,-0.378101615,90.8,110.4,-19.6,23.8,1.67,17.2,2.4,17.1,9.2,10.3,47.4,51.9,27.6,86.77,18.7
