Date,Season,G,Tm,@,Opp,Result,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,MP-binned,GmSc/min,PM/min,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE
1/5/2007,4,32,CLE,@,MIL,W (+9),42.833333333,3,13,0.231,0,4,0,2,2,1,0,5,5,9,1,0,2,1,8,6.5,9,Above,0.151750973,0.210116732,108.9,100,8.9,31,4.5,36,0,11.9,5.5,8,23.1,28.8,16.2,87.41,8.1
1/6/2007,4,33,CLE,,NJN,W (+5),44,9,21,0.429,1,3,0.333,0,0,,0,13,13,4,3,3,5,4,19,13.1,4,Above,0.297727273,0.090909091,108.4,103.6,4.8,16,0.8,13.3,0,36.1,15.9,16.7,45.2,45.2,26.3,90.55,14.2
1/9/2007,4,34,CLE,@,SAC,W (+10),43.416666667,14,26,0.538,3,7,0.429,3,3,1,1,3,4,7,2,1,3,3,34,26.4,13,Above,0.608061420,0.299424184,121.7,107.3,14.4,28,2.33,18.9,2.2,8.6,4.9,8.1,59.6,62.2,29.7,91.21,19
1/11/2007,4,35,CLE,@,PHO,L (-19),38.816666667,15,28,0.536,3,9,0.333,1,2,0.5,2,4,6,6,1,0,5,2,34,22,-20,Average,0.566766853,-0.515242593,88.1,113.3,-25.2,42.9,1.2,15,4,9.8,6.6,12.5,58.9,58.9,34,103.25,16.9
1/13/2007,4,36,CLE,@,LAC,W (+12),42.033333333,10,23,0.435,0,1,0,8,8,1,1,5,6,6,1,0,2,4,28,19.7,14,Average,0.468675654,0.333068993,116.5,98.7,17.7,24,3,17.1,2.8,13.9,8.3,5.7,43.5,52.8,32.2,90.21,16.6
1/16/2007,4,37,CLE,@,SEA,L (-5),43.566666667,8,21,0.381,1,7,0.143,13,15,0.867,1,6,7,8,2,1,4,0,30,24.5,-7,Above,0.562356542,-0.160673298,101.1,111.6,-10.5,38.1,2,20,2.4,13.6,8.1,10,40.5,54.3,33,95.86,19.1
1/17/2007,4,38,CLE,@,POR,L (-18),35.116666667,8,21,0.381,1,4,0.25,6,13,0.462,3,3,6,2,1,0,4,0,23,10.1,-24,Below,0.287612720,-0.683436165,80,118.8,-38.8,33.3,0.5,6.1,8.8,8.1,8.5,12.1,40.5,43,41.9,88.16,9
1/19/2007,4,39,CLE,@,DEN,L (-11),43.866666667,9,23,0.391,0,1,0,12,14,0.857,2,8,10,10,2,0,3,2,30,25.7,-3,Above,0.585866261,-0.068389058,110.1,113.5,-3.4,38.5,3.33,24.4,4.3,20.5,11.8,7.3,39.1,51.4,31,97.4,17.1
1/20/2007,4,40,CLE,@,GSW,W (+2),45.866666667,14,22,0.636,2,7,0.286,2,5,0.4,0,7,7,5,4,0,9,2,32,20.8,5,Above,0.453488372,0.109011628,93.9,87.9,6,21.7,0.56,13.2,0,13.2,6.9,23.7,68.2,66.1,29.2,103.08,18.1
1/22/2007,4,41,CLE,,ORL,L (-11),43.383333333,6,15,0.4,0,3,0,6,13,0.462,0,4,4,5,3,0,2,2,18,12,-2,Above,0.276603919,-0.046100653,96.1,97.4,-1.3,23.8,2.5,17.9,0,12.9,5.2,7.1,40,43.4,25.8,84.64,9.4
1/24/2007,4,42,CLE,,PHI,L (-3),53.166666667,14,26,0.538,3,8,0.375,8,13,0.615,2,8,10,5,1,0,4,2,39,27.9,-8,Above,0.524764890,-0.150470219,106.2,114.4,-8.2,22.7,1.25,12.2,3.5,21.6,10.6,9.8,59.6,61.5,30,87.57,20.5
1/28/2007,4,43,CLE,,PHO,L (-15),42.066666667,12,22,0.545,3,6,0.5,3,6,0.5,2,7,9,5,2,0,3,2,30,23.4,-8,Average,0.556259905,-0.190174326,120.5,130.8,-10.3,20,1.67,15.2,4.9,24.1,12.9,9.1,61.4,60.9,30.1,89,15.3
2/1/2007,4,44,CLE,@,MIA,L (-3),35.583333333,6,18,0.333,2,7,0.286,3,8,0.375,1,5,6,9,1,0,2,4,17,10.7,-12,Below,0.300702576,-0.337236534,97,116.9,-20,52.9,4.5,28.1,2.7,20,9.7,6.3,38.9,39.5,31.1,88.36,10.6
2/2/2007,4,45,CLE,,CHA,W (+20),35.65,7,13,0.538,0,1,0,4,8,0.5,1,9,10,3,2,0,1,1,18,16.2,17,Below,0.454417952,0.476858345,110.4,85.1,25.4,13,3,14.3,2.7,26.5,14.1,4.8,53.8,54.5,22.8,90.21,21.5
2/4/2007,4,46,CLE,,DET,L (-12),43.283333333,9,22,0.409,1,4,0.25,2,3,0.667,0,5,5,6,2,0,3,2,21,12.7,-12,Above,0.293415479,-0.277242973,92.3,107.7,-15.4,27.3,2,18.8,0,16.1,6.7,9.4,43.2,45,30.2,86.5,11.8
2/7/2007,4,47,CLE,,LAC,W (+17),36.316666667,4,13,0.308,1,2,0.5,2,2,1,0,7,7,3,1,1,2,1,11,7,15,Average,0.192748967,0.413033502,111.9,92.3,19.6,12,1.5,15.8,0,16.3,8.6,10.5,34.6,39.6,20.3,87.22,9.6
2/9/2007,4,48,CLE,,MIA,W (+24),41.133333333,12,22,0.545,1,4,0.25,4,8,0.5,1,6,7,6,0,0,2,1,29,21.1,22,Average,0.512965964,0.534846029,121.9,90.5,31.4,25,3,18.2,2.4,17.1,9.1,6.1,56.8,56.8,29.7,85.77,19.5
2/11/2007,4,49,CLE,,LAL,W (+9),38.35,5,16,0.313,0,2,0,8,12,0.667,1,7,8,5,1,1,1,3,18,13,3,Average,0.338983051,0.078226858,106.7,105.5,1.2,21.7,5,17.9,2.3,18.4,9.8,3.6,31.3,42.3,25.8,92.62,10.4
2/14/2007,4,50,CLE,@,UTA,L (-1),42.65,9,25,0.36,0,3,0,5,9,0.556,3,7,10,4,1,3,0,2,23,16.8,10,Above,0.393903869,0.234466589,122.7,110.8,11.9,16,0,12.5,6.4,17.5,11.5,0,36,39.7,29.2,83.85,11.1
2/15/2007,4,51,CLE,@,LAL,W (+6),39.8,10,16,0.625,0,1,0,18,22,0.818,0,4,4,3,3,0,3,4,38,30.9,4,Average,0.776381910,0.100502513,109.4,106,3.5,17.6,1,9.7,0,8.3,4.7,9.7,62.5,74,29.2,101.93,24.6
2/21/2007,4,52,CLE,@,TOR,W (+1),36.816666667,12,25,0.48,0,1,0,5,5,1,0,4,4,2,1,1,3,3,29,16.4,5,Average,0.445450430,0.135808058,98.6,91.5,7,11.8,0.67,6.3,0,10.8,5.2,9.4,48,53.3,36.1,92.57,16.1
2/22/2007,4,53,CLE,,CHI,L (-6),42.966666667,13,28,0.464,1,4,0.25,2,8,0.25,3,4,7,2,3,0,3,1,29,16.5,3,Above,0.384018619,0.069821567,89.3,86.7,2.5,10.5,0.67,5.6,5.9,10.5,7.9,8.3,48.2,46,34.7,93.28,15.1
2/25/2007,4,54,CLE,@,MIA,L (-5),41.5,10,22,0.455,2,5,0.4,7,12,0.583,0,3,3,7,0,1,2,2,29,19.3,6,Average,0.465060241,0.144578313,90.2,82.9,7.3,36.8,3.5,19.4,0,6.3,3,5.6,50,53.2,30.9,94.84,20.9
2/27/2007,4,55,CLE,,NOK,W (+8),42.833333333,14,22,0.636,3,4,0.75,4,7,0.571,1,4,5,8,2,1,4,1,35,29.8,16,Above,0.695719844,0.373540856,106,85.9,20.1,34.8,2,21.6,2.4,9.3,5.9,10.8,70.5,69.8,31.5,94.69,25.2
3/1/2007,4,56,CLE,@,DAL,L (-3),39.966666667,17,27,0.63,1,4,0.25,4,8,0.5,0,3,3,5,0,0,2,2,39,26.9,-2,Average,0.673060884,-0.050041701,105.2,109.2,-4,26.3,2.5,13.9,0,8.6,4.2,5.6,64.8,63.9,36.5,91.88,20.9
3/3/2007,4,57,CLE,,TOR,W (+23),37.366666667,10,20,0.5,1,3,0.333,15,17,0.882,2,3,5,6,0,3,2,1,36,31.4,23,Average,0.840321142,0.615521855,125.6,97.4,28.2,25,3,17.6,5.3,6.8,6.1,5.9,52.5,65.5,31.1,99.56,22.1
3/5/2007,4,58,CLE,,HOU,W (+6),41.633333333,12,24,0.5,3,6,0.5,5,9,0.556,1,11,12,8,0,0,3,2,32,24.2,-1,Average,0.581265012,-0.024019215,97.6,100,-2.4,40,2.67,21.1,2.3,20.8,12.4,7.9,56.3,57.2,33,93.96,21.2
3/7/2007,4,59,CLE,@,DET,W (+4),50.666666667,17,31,0.548,1,3,0.333,6,8,0.75,2,5,7,8,3,1,4,4,41,31.9,8,Above,0.629605263,0.157894737,112.2,102.2,10,30.8,2,17.8,4,11.9,7.6,8.9,56.5,59.4,33.6,85.74,26.3
3/10/2007,4,60,CLE,@,MIL,W (+2),36.5,12,22,0.545,4,6,0.667,4,4,1,0,8,8,9,3,1,6,5,32,25.8,15,Average,0.706849315,0.410958904,108.3,88.7,19.6,50,1.5,23.1,0,20.5,11.6,15.4,63.6,67.3,37,94.04,26.4
3/11/2007,4,61,CLE,,IND,W (+11),38.7,10,22,0.455,2,6,0.333,4,5,0.8,3,4,7,6,3,1,2,2,26,22.6,23,Average,0.583979328,0.594315245,117.3,85.5,31.8,26.1,3,18.8,9.1,9.5,9.3,6.3,50,53.7,31,93.64,20.8
3/14/2007,4,62,CLE,@,MEM,W (+22),29.583333333,11,17,0.647,4,7,0.571,3,6,0.5,1,5,6,4,3,0,2,0,29,26.3,35,Below,0.889014085,1.183098592,138.3,80,58.3,17.4,2,15.4,3.8,14.7,10,7.7,76.5,73.8,31.9,97.35,27
3/17/2007,4,63,CLE,,UTA,W (+9),43.666666667,8,21,0.381,0,6,0,8,13,0.615,2,15,17,9,2,2,4,3,24,20.9,7,Above,0.478625954,0.160305344,89.4,82.1,7.3,40.9,2.25,22.5,3.6,29.4,15.9,10,38.1,44.9,28.2,92.89,28.4
3/20/2007,4,64,CLE,@,CHA,L (-8),46.55,12,31,0.387,2,9,0.222,11,12,0.917,2,4,6,6,1,3,3,4,37,25,-5,Above,0.537056928,-0.107411386,104.5,110.1,-5.6,25,2,13.3,4.2,9.3,6.6,6.7,41.9,51,37.5,91.78,17.3
3/21/2007,4,65,CLE,,DAL,L (-8),45.45,12,28,0.429,1,6,0.167,6,7,0.857,0,6,6,4,2,3,6,3,31,17.3,-6,Above,0.380638064,-0.132013201,97.8,105.6,-7.8,20,0.67,9.8,0,15.8,6.7,14.6,44.6,49.9,35.6,95.58,11.4
3/23/2007,4,66,CLE,,NYK,W (+22),38.266666667,8,16,0.5,0,1,0,5,6,0.833,1,2,3,10,2,0,1,1,21,21.5,19,Average,0.561846690,0.496515679,105.5,79.5,26,47.6,10,35.7,2.9,5.6,4.2,3.6,50,56.3,22,91.57,25.8
3/25/2007,4,67,CLE,,DEN,L (-12),40.816666667,8,19,0.421,1,6,0.167,1,1,1,0,3,3,8,1,0,5,4,18,8.8,-13,Average,0.215598203,-0.318497346,97.5,110.8,-13.3,28.6,1.6,25,0,11.1,4.3,15.6,44.7,46.3,26.4,96.43,5.8
3/27/2007,4,68,CLE,@,IND,W (+11),40.133333333,8,18,0.444,0,3,0,10,14,0.714,1,6,7,6,2,0,3,4,26,19.1,11,Average,0.475913621,0.274086379,120,102.6,17.4,24,2,17.6,2.9,17.6,10.3,8.8,44.4,53.8,34.1,90.9,13.1
3/28/2007,4,69,CLE,@,NYK,L (-4),43.916666667,6,20,0.3,2,5,0.4,10,14,0.714,1,5,6,7,2,0,3,3,24,15.7,3,Above,0.357495256,0.068311195,108.5,104.9,3.7,30.4,2.33,19.4,2,14.3,7.1,8.3,35,45.9,30.9,89.62,10.7
3/31/2007,4,70,CLE,@,CHI,W (+4),47.4,14,25,0.56,0,3,0,11,13,0.846,1,4,5,9,3,0,7,4,39,28.9,4,Above,0.609704641,0.084388186,108.8,103.3,5.5,42.9,1.29,19.6,2.5,10,6.3,15.2,56,63.5,35.9,92.65,20.8
4/3/2007,4,71,CLE,@,MIN,W (+13),41.816666667,13,24,0.542,0,2,0,5,5,1,2,10,12,6,4,1,2,1,31,30.3,21,Average,0.724591471,0.502192108,108.5,85,23.5,28.6,3,17.6,5,25.6,15.2,5.9,54.2,59.2,29.2,92.98,30.4
4/5/2007,4,72,CLE,,MIA,L (-4),48.6,11,21,0.524,2,5,0.4,11,13,0.846,2,7,9,5,0,0,4,4,35,25.3,3,Above,0.520576132,0.061728395,97.6,91.9,5.8,29.4,1.25,14.3,4,16.3,9.7,11.4,57.1,65.5,28.6,83.96,29.5
4/6/2007,4,73,CLE,@,WAS,W (+5),44.416666667,7,23,0.304,0,3,0,11,14,0.786,0,6,6,5,1,1,2,3,25,14.3,5,Above,0.321951220,0.112570356,104.6,98.9,5.7,20.8,2.5,13.9,0,16.2,7.3,5.6,30.4,42.9,30.7,94.02,10.5
4/8/2007,4,74,CLE,@,DET,L (-5),43.1,5,16,0.313,1,4,0.25,9,11,0.818,1,4,5,6,1,0,5,2,20,11.3,-11,Above,0.262180974,-0.255220418,92.5,107.6,-15.1,25,1.2,18.8,2.9,10,6.7,15.6,34.4,48,29.5,88.54,8.4
4/12/2007,4,75,CLE,,NJN,W (+18),35.25,15,27,0.556,0,1,0,5,9,0.556,3,5,8,4,2,1,2,1,35,27.2,21,Below,0.771631206,0.595744681,107.5,73.9,33.5,26.7,2,11.1,10.3,13.9,12.3,5.6,55.6,56.5,43.2,92.6,29.9
4/14/2007,4,76,CLE,,ATL,W (+34),31.95,8,16,0.5,3,6,0.5,4,5,0.8,1,4,5,6,1,1,0,1,23,22,25,Below,0.688575900,0.782472613,129,88.7,40.3,24,0,25,4.3,12.5,9.1,0,59.4,63.2,26.1,93.15,20.2
4/17/2007,4,77,CLE,@,PHI,W (+6),36.05,7,15,0.467,0,2,0,4,7,0.571,1,4,5,6,0,0,1,3,18,13,-4,Average,0.360610264,-0.110957004,100,107,-7,27.3,6,24,3,13.8,8.1,4,46.7,49.8,23.8,95.21,10.8
4/18/2007,4,78,CLE,,MIL,W (+13),39.966666667,9,18,0.5,1,4,0.25,5,10,0.5,0,5,5,9,2,0,2,2,24,20,22,Average,0.500417014,0.550458716,121.8,92.4,29.4,31,4.5,27.3,0,11.9,5.9,6.1,52.8,53.6,25,94.28,15.3
10/31/2007,5,1,CLE,,DAL,L (-18),36.15,2,11,0.182,0,2,0,6,10,0.6,1,4,5,4,1,0,5,4,10,0.6,-12,Average,0.016597510,-0.331950207,85.3,104.5,-19.2,20,0.8,16.7,2.3,12.9,6.8,20.8,18.2,32.5,24.7,89.63,-2.5
11/2/2007,5,2,CLE,,NYK,W (+4),44.416666667,13,28,0.464,3,5,0.6,16,22,0.727,3,4,7,7,3,1,3,1,45,36.7,4,Above,0.826266417,0.090056285,130.1,125.3,4.8,29.2,2.33,14.6,7.1,8.3,7.8,6.3,51.8,59.7,41.4,89.7,22.5
11/4/2007,5,3,CLE,@,PHO,L (-11),43.216666667,11,26,0.423,3,5,0.6,2,2,1,1,4,5,8,2,4,3,0,27,22.5,-18,Above,0.520632472,-0.416505978,86.8,106.6,-19.8,36.4,2.67,21.1,2,8.7,5.3,7.9,48.1,50.2,28.6,101.07,18.1
11/6/2007,5,4,CLE,@,GSW,W (+4),41.85,9,16,0.563,1,2,0.5,5,7,0.714,1,12,13,9,0,3,2,1,24,25.9,4,Average,0.618876941,0.095579450,107.7,104.4,3.2,33.3,4.5,30,2.2,25.5,14.1,6.7,59.4,62.9,21,103.8,22.4
11/7/2007,5,5,CLE,@,UTA,L (-2),40.75,12,27,0.444,1,4,0.25,7,15,0.467,2,13,15,13,3,2,4,4,32,27.9,4,Average,0.684662577,0.098159509,102.4,98.8,3.5,65,3.25,25.5,4.1,36.1,17.6,7.8,46.3,47.6,37.6,99.53,23.8
11/9/2007,5,6,CLE,@,SAC,W (+2),43.85,10,19,0.526,0,2,0,6,8,0.75,0,4,4,4,1,1,1,1,26,20.2,-1,Above,0.460661345,-0.022805017,96.5,98.8,-2.3,19,4,14.8,0,10.8,4.3,3.7,52.6,57.7,22.3,93.61,20.5
11/11/2007,5,7,CLE,@,LAC,W (+8),35.916666667,9,21,0.429,0,2,0,4,8,0.5,1,4,5,8,6,1,5,3,22,17.3,11,Average,0.481670534,0.306264501,111.1,95.8,15.3,34.8,1.6,21.1,2.6,13.3,7.4,13.2,42.9,44.9,34.5,96.22,15.6
11/12/2007,5,8,CLE,@,DEN,L (-22),33.783333333,9,16,0.563,1,3,0.333,8,14,0.571,0,1,1,4,2,0,4,3,27,16.9,-13,Below,0.500246670,-0.384805131,95.8,114.1,-18.3,25,1,12.9,0,3.6,1.5,12.9,59.4,60.9,33.3,100.9,12.1
11/14/2007,5,9,CLE,,ORL,L (-1),47.233333333,15,27,0.556,2,4,0.5,7,9,0.778,4,9,13,14,0,2,4,1,39,37.6,2,Above,0.796047989,0.042342978,115.2,113,2.2,56,3.5,29.2,8.7,19.6,14.1,8.3,59.3,63,32.1,93.49,24.6
11/16/2007,5,10,CLE,,UTA,W (+5),40.266666667,13,27,0.481,1,3,0.333,13,15,0.867,2,8,10,9,0,3,5,3,40,31.5,13,Average,0.782284768,0.322847682,107.3,93.8,13.6,42.9,1.8,19.1,5,17.8,11.8,10.6,50,59.5,41.8,96.56,25.6
11/20/2007,5,11,CLE,,MIL,L (-4),44.1,11,22,0.5,1,7,0.143,11,12,0.917,0,7,7,7,1,1,3,4,34,26.7,-2,Above,0.605442177,-0.045351474,122.6,125,-2.4,25.9,2.33,19.4,0,15.6,8,8.3,52.3,62.3,29.6,91.43,19.1
11/21/2007,5,12,CLE,@,MIN,W (+11),39.05,17,26,0.654,6,10,0.6,5,8,0.625,2,6,8,5,3,2,3,2,45,39.7,14,Average,1.016645327,0.358514725,120.5,100,20.5,35.7,1.67,13.5,6.5,16.2,11.8,8.1,76.9,76.2,37.6,90.35,35.9
11/24/2007,5,13,CLE,,TOR,W (+3),44.683333333,14,29,0.483,2,8,0.25,7,8,0.875,3,9,12,12,3,1,4,3,37,33.6,7,Above,0.751958225,0.156657963,122.4,115.5,6.9,46.2,3,25,7.3,21.4,14.5,8.3,51.7,56.9,36.4,90.77,20.9
11/25/2007,5,14,CLE,@,IND,W (+5),35.783333333,10,21,0.476,1,6,0.167,9,15,0.6,3,8,11,10,4,1,2,1,30,30.7,9,Below,0.857941313,0.251513740,107.5,96.3,11.3,52.6,5,25,7.1,20,13.4,5,50,54.3,32.3,107.33,29.1
11/27/2007,5,15,CLE,,BOS,W (+5),45.766666667,11,25,0.44,2,8,0.25,14,15,0.933,0,4,4,13,2,2,3,2,38,34.4,14,Above,0.751638747,0.305899490,117.2,102.3,14.9,52,4.33,27.1,0,8.5,4.8,6.3,48,60.1,36.1,90.72,22.4
12/14/2007,5,18,CLE,@,NJN,L (-8),41.15,12,25,0.48,3,9,0.333,2,3,0.667,0,6,6,8,2,0,6,3,29,18.1,6,Average,0.439854192,0.145808019,115.2,106.3,8.9,33.3,1.33,20.5,0,14.3,7.7,15.4,54,55.1,34.8,92.72,15.1
12/15/2007,5,19,CLE,,PHI,L (-6),41.766666667,10,18,0.556,0,1,0,1,1,1,0,6,6,6,0,1,3,1,21,15.7,5,Average,0.375897845,0.119712690,90.6,87.8,2.8,31.6,2,21.4,0,12.5,7.1,10.7,55.6,56.9,23.9,95.97,20.8
12/17/2007,5,20,CLE,,MIL,W (+5),50.216666667,10,25,0.4,0,5,0,11,13,0.846,1,7,8,5,1,0,2,3,31,20.8,6,Above,0.414205111,0.119482244,98.9,93.3,5.6,21.7,2.5,13.2,2,14.6,8.2,5.3,40,50.5,31.4,86.51,17.2
12/19/2007,5,21,CLE,@,NYK,L (-18),36.866666667,12,21,0.571,3,6,0.5,5,6,0.833,1,7,8,6,6,0,4,1,32,30.3,-9,Average,0.821880651,-0.244122966,119.4,130.9,-11.5,33.3,1.5,18.2,2.8,24.1,12.3,12.1,64.3,67.7,34.6,87.88,25.8
12/20/2007,5,22,CLE,,LAL,W (+4),38.466666667,12,29,0.414,0,3,0,9,11,0.818,4,6,10,5,1,1,3,3,33,22.3,-7,Average,0.579722704,-0.181975737,95.9,105.4,-9.5,38.5,1.67,11.9,8.9,17.6,12.7,7.1,41.4,48.8,42,92.32,19.2
12/23/2007,5,23,CLE,,GSW,L (-9),40.85,8,20,0.4,0,2,0,9,13,0.692,2,3,5,8,1,1,3,2,25,18.4,-12,Average,0.450428397,-0.293757650,98.8,112.3,-13.6,36.4,2.67,21.6,4.5,8.8,6.4,8.1,40,48.6,31.9,94.59,12
12/25/2007,5,24,CLE,,MIA,W (+14),38.6,9,19,0.474,0,3,0,7,11,0.636,0,6,6,12,1,1,2,3,25,22.4,18,Average,0.580310881,0.466321244,106.4,84.4,22,60,6,31.6,0,15.4,7.9,5.3,47.4,52.4,29.9,96.39,26.3
12/27/2007,5,25,CLE,@,DAL,W (+7),36.316666667,9,21,0.429,1,4,0.25,5,10,0.5,4,4,8,7,3,0,3,5,24,17.8,5,Average,0.490133089,0.137677834,90.3,83.3,6.9,43.8,2.33,19.4,8.7,10.3,9.4,8.3,45.2,47.2,34.1,95.16,16.3
12/29/2007,5,26,CLE,@,NOH,L (-10),42.35,8,21,0.381,1,4,0.25,4,6,0.667,2,3,5,6,1,0,4,1,21,11.8,-18,Above,0.278630460,-0.425029516,80,105.4,-25.4,33.3,1.5,17.6,4.2,7.7,5.7,11.8,40.5,44.4,30.1,84.44,11.7
1/2/2008,5,27,CLE,,ATL,W (+4),40.083333333,13,22,0.591,1,3,0.333,9,11,0.818,1,4,5,6,2,1,2,1,36,31.4,7,Average,0.783367983,0.174636175,120.5,112.5,8,28.6,3,17.6,3,9.8,6.8,5.9,61.4,67.1,33.3,86.82,26.5
1/4/2008,5,28,CLE,,SAC,W (+4),45.35,7,18,0.389,1,6,0.167,9,12,0.75,1,7,8,10,5,1,3,1,24,25.1,7,Above,0.553472988,0.154355017,105.7,97.7,8,37,3.33,27.8,1.9,19.4,9,8.3,41.7,51.5,24.1,93.14,19.7
1/6/2008,5,29,CLE,@,TOR,W (+3),45.733333333,14,29,0.483,4,8,0.5,7,12,0.583,3,8,11,8,0,0,1,1,39,31,-1,Above,0.677842566,-0.021865889,108.5,111.1,-2.6,42.1,8,18.6,5.9,21.6,12.5,2.3,55.2,56.9,33,85.54,22.8
1/8/2008,5,30,CLE,,SEA,W (+16),35.166666667,8,18,0.444,0,3,0,6,6,1,2,6,8,3,2,0,4,2,22,15.1,13,Below,0.429383886,0.369668246,98.6,82.2,16.5,15,0.75,10.7,5.1,16.7,10.7,14.3,44.4,53.3,30.1,100.32,15.9
1/9/2008,5,31,CLE,@,ATL,L (-9),43.383333333,13,22,0.591,0,4,0,5,9,0.556,3,7,10,6,3,1,3,3,31,27.1,-7,Above,0.624663849,-0.161352286,88,98.8,-10.8,37.5,2,17.6,6.1,17.1,11.1,8.8,59.1,59.7,27.5,90.73,34.3
1/11/2008,5,32,CLE,,CHA,W (+7),49.6,10,20,0.5,2,7,0.286,9,15,0.6,5,14,19,8,4,3,8,3,31,28.8,-2,Above,0.580645161,-0.040322581,99,102.1,-3.1,33.3,1,18.6,11.1,24.1,18.4,18.6,55,58.3,31.8,94.35,20.7
1/15/2008,5,33,CLE,@,MEM,W (+8),47.166666667,18,28,0.643,6,12,0.5,9,16,0.563,3,5,8,9,3,1,4,1,51,45,10,Above,0.954063604,0.212014134,125.8,117.9,7.9,34.6,2.25,18.8,7.3,12.5,9.9,8.3,75,72.8,35.1,97.7,23.1
1/17/2008,5,34,CLE,@,SAS,W (+2),38.9,9,24,0.375,1,5,0.2,8,12,0.667,3,6,9,7,0,2,3,1,27,19,-11,Average,0.488431877,-0.282776350,95.8,105.3,-9.6,41.2,2.33,17.5,7.5,16.7,11.8,7.5,39.6,46.1,38.8,90.08,16.7
1/21/2008,5,35,CLE,@,MIA,W (+7),39.666666667,11,26,0.423,1,4,0.25,5,5,1,1,2,3,5,4,1,5,4,28,17.1,12,Average,0.431092437,0.302521008,116.9,100,16.9,19.2,1,13.2,2.8,4.9,3.9,13.2,44.2,49.6,36.7,93.77,11.9
1/23/2008,5,36,CLE,,WAS,W (+36),31.133333333,7,13,0.538,1,3,0.333,8,9,0.889,2,6,8,8,2,1,0,2,23,27,31,Below,0.867237687,0.995717345,143.3,94.8,48.5,29.6,0,32,8.7,15.8,13.1,0,57.7,67.8,24.3,90.96,23
1/25/2008,5,37,CLE,,PHO,L (-2),39.433333333,14,30,0.467,0,1,0,8,10,0.8,2,5,7,5,2,0,1,3,36,26,-12,Average,0.659340659,-0.304311074,111.7,128.9,-17.3,29.4,5,12.5,4.7,20,10.3,2.5,46.7,52.3,38.9,93.12,17.1
1/27/2008,5,38,CLE,@,LAL,W (+3),44.133333333,16,32,0.5,1,5,0.2,8,12,0.667,3,6,9,4,2,0,5,4,41,25.5,-3,Above,0.577794562,-0.067975831,107,110.5,-3.5,20,0.8,8.7,6,15.4,10.1,10.9,51.6,55,42,93.53,17.2
1/30/2008,5,39,CLE,@,POR,W (+1),43.883333333,13,29,0.448,3,6,0.5,8,12,0.667,2,12,14,4,2,2,4,3,37,26.3,3,Above,0.599316369,0.068363084,92.8,89.2,3.6,30.8,1,9.3,4.3,23.1,14.1,9.3,50,54,41.5,90.8,26.1
2/2/2008,5,40,CLE,,LAC,W (+14),43.8,8,19,0.421,1,4,0.25,11,16,0.688,0,11,11,7,2,1,3,2,28,23,15,Above,0.525114155,0.342465753,109.8,92.6,17.2,29.2,2.33,18.9,0,22.4,12.1,8.1,44.7,53.8,31.3,89.32,22.7
2/5/2008,5,41,CLE,,BOS,W (+1),42.4,11,21,0.524,4,8,0.5,7,10,0.7,1,8,9,12,5,2,7,5,33,30.4,12,Above,0.716981132,0.283018868,130.9,116,14.8,46.2,1.71,27.9,2.8,27.6,13.8,16.3,61.9,65,31.3,91.69,22.5
2/7/2008,5,42,CLE,@,HOU,L (-15),41.216666667,12,23,0.522,2,5,0.4,6,11,0.545,1,6,7,6,2,2,3,0,32,25.8,-11,Average,0.625960372,-0.266882329,98.6,113.9,-15.3,35.3,2,16.2,2.2,15,8.1,8.1,56.5,57.5,37.3,83.85,19.5
2/8/2008,5,43,CLE,@,ATL,W (+5),44,11,24,0.458,0,3,0,4,4,1,4,7,11,7,2,1,1,2,26,24.3,5,Above,0.552272727,0.113636364,104.7,98.8,5.8,26.9,7,20.6,9.1,16.7,12.8,2.9,45.8,50.5,27.3,93.82,18.7
2/10/2008,5,44,CLE,,DEN,L (-30),32.6,11,23,0.478,2,5,0.4,6,6,1,1,4,5,3,2,0,5,1,30,18.9,-25,Below,0.579754601,-0.766871166,81.2,117.4,-36.2,30,0.6,9.1,2.4,11.8,6.6,15.2,52.2,58.5,37,101.6,18.3
2/11/2008,5,45,CLE,@,ORL,W (+7),43.85,8,15,0.533,1,2,0.5,12,15,0.8,1,6,7,10,3,1,5,3,29,27.5,10,Above,0.627137970,0.228050171,125,113.6,11.4,37,2,27.8,2.8,13.3,8.6,13.9,56.7,67.1,26.8,96.33,18.5
2/13/2008,5,46,CLE,,SAS,L (-7),42.733333333,17,31,0.548,1,5,0.2,4,7,0.571,2,4,6,9,0,1,3,4,39,27.9,-4,Above,0.652886115,-0.093603744,124.7,126.9,-2.2,42.9,3,19.6,5.9,11.1,8.6,6.5,56.5,57.2,43.5,87.05,16.3
2/19/2008,5,47,CLE,,HOU,L (-8),42.133333333,7,18,0.389,4,7,0.571,8,11,0.727,2,11,13,11,2,0,5,2,26,23.6,-8,Above,0.560126582,-0.189873418,92.9,104.9,-12,52.4,2.2,28.9,4.5,25.6,14.9,13.2,50,56.9,29,94.56,22.2
